k,n,mask_type,implementation,round,repetitions,elapsed_ns,ns_per_call
17,131072,all_true,python,10,2,20700375,10350187.5
17,131072,all_true,numpy,10,513,20069083,39121.01949317739
3,8,all_true,python,10,24010,19635000,817.7842565597667
3,8,all_true,numpy,10,40000,18866667,471.666675
9,512,random_50pct,numpy,10,26667,18018709,675.6931413357333
9,512,random_50pct,python,10,516,21371875,41418.36240310078
5,32,all_true,python,10,8275,21073958,2546.7018731117823
5,32,all_true,numpy,10,36901,17710000,479.93279314923717
2,4,random_50pct,numpy,10,34306,16001167,466.42473619774967
2,4,random_50pct,python,10,36901,19676833,533.2330560147421
6,64,all_true,numpy,10,34306,16820959,490.32119745817056
6,64,all_true,python,10,4325,21479833,4966.4353757225435
19,524288,random_50pct,python,10,1,45151834,45151834.0
19,524288,random_50pct,numpy,10,118,18967834,160744.35593220338
10,1024,all_true,numpy,10,22858,20171542,882.4718698048823
10,1024,all_true,python,10,266,21187250,79651.31578947368
5,32,random_50pct,numpy,10,36901,18289959,495.6494132950327
5,32,random_50pct,python,10,7868,21432791,2724.045627859685
7,128,random_50pct,numpy,10,32000,17887541,558.98565625
7,128,random_50pct,python,10,2106,21319542,10123.239316239316
1,2,all_true,numpy,10,34247,16667875,486.69591497065437
1,2,all_true,python,10,47962,18359375,382.7900212668362
15,32768,random_50pct,python,10,8,21605500,2700687.5
15,32768,random_50pct,numpy,10,1913,19896125,10400.483533716675
16,65536,random_50pct,python,10,4,21605416,5401354.0
16,65536,random_50pct,numpy,10,994,19959375,20079.85412474849
13,8192,all_true,numpy,10,6316,19267209,3050.539740341989
13,8192,all_true,python,10,31,20047209,646684.1612903225
3,8,random_50pct,python,11,23981,20389458,850.2338517993411
3,8,random_50pct,numpy,11,36901,18303125,496.00620579388095
2,4,all_true,numpy,11,36901,17983333,487.33999078615756
2,4,all_true,python,11,36901,19480000,527.8989729275629
3,8,all_true,python,11,24010,19730708,821.7704289879217
3,8,all_true,numpy,11,40000,19654333,491.358325
5,32,all_true,python,11,8275,21294792,2573.388761329305
5,32,all_true,numpy,11,36901,18384708,498.2170672881494
12,4096,random_50pct,python,11,59,19932709,337842.5254237288
12,4096,random_50pct,numpy,11,9795,17290375,1765.224604389995
7,128,all_true,numpy,11,34247,19200458,560.6464215843723
7,128,all_true,python,11,2223,21257916,9562.715249662619
15,32768,all_true,numpy,11,1928,19766583,10252.377074688797
15,32768,all_true,python,11,8,20634584,2579323.0
5,32,random_50pct,numpy,11,36901,17982791,487.3253028373215
5,32,random_50pct,python,11,7868,21279750,2704.5945602440265
9,512,all_true,python,11,543,21107292,38871.62430939227
9,512,all_true,numpy,11,28249,19320250,683.9268646677758
17,131072,all_true,python,11,2,20732292,10366146.0
17,131072,all_true,numpy,11,513,21017458,40969.7037037037
12,4096,all_true,numpy,11,10912,19574708,1793.8698680351906
12,4096,all_true,python,11,61,21234333,348103.81967213115
13,8192,all_true,python,11,31,21030292,678396.5161290322
13,8192,all_true,numpy,11,6316,19316750,3058.3834705509817
15,32768,random_50pct,numpy,11,1913,19489959,10188.164662833246
15,32768,random_50pct,python,11,8,21554583,2694322.875
14,16384,random_50pct,python,11,15,20266375,1351091.6666666667
14,16384,random_50pct,numpy,11,3583,20008667,5584.333519397153
8,256,all_true,python,11,1127,21180833,18793.995563442768
8,256,all_true,numpy,11,32000,18962875,592.58984375
10,1024,all_true,numpy,11,22858,19213708,840.5682036923615
10,1024,all_true,python,11,266,21190042,79661.81203007519
6,64,random_50pct,python,11,4175,22953000,5497.724550898203
6,64,random_50pct,numpy,11,36901,18855750,510.9820872063088
18,262144,all_true,numpy,11,257,20284917,78929.63813229572
18,262144,all_true,python,11,1,20886541,20886541.0
4,16,random_50pct,numpy,11,34306,16886833,492.24138634641173
4,16,random_50pct,python,11,14546,21204250,1457.7375223429121
8,256,random_50pct,numpy,11,32000,19095209,596.72528125
8,256,random_50pct,python,11,1072,21267292,19838.891791044774
6,64,all_true,python,11,4325,21457042,4961.165780346821
6,64,all_true,numpy,11,34306,17849792,520.3110826094561
19,524288,random_50pct,python,11,1,42954083,42954083.0
19,524288,random_50pct,numpy,11,118,18419875,156100.63559322033
2,4,random_50pct,numpy,11,34306,16503000,481.05287704774673
2,4,random_50pct,python,11,36901,19865208,538.3379312213762
10,1024,random_50pct,numpy,11,21811,18336250,840.68818486085
10,1024,random_50pct,python,11,257,21443167,83436.44747081712
16,65536,random_50pct,numpy,11,994,19637500,19756.036217303823
16,65536,random_50pct,python,11,4,21567666,5391916.5
16,65536,all_true,python,11,4,20665083,5166270.75
16,65536,all_true,numpy,11,1000,19896958,19896.958
13,8192,random_50pct,python,11,30,20258292,675276.4
13,8192,random_50pct,numpy,11,5647,19030083,3369.945634850363
4,16,all_true,numpy,11,36901,18010583,488.078453158451
4,16,all_true,python,11,15004,21089792,1405.6113036523593
19,524288,all_true,numpy,11,130,20227333,155594.86923076923
19,524288,all_true,python,11,1,41356417,41356417.0
11,2048,random_50pct,python,11,128,21572833,168537.7578125
11,2048,random_50pct,numpy,11,16543,18674500,1128.8460375989844
11,2048,all_true,numpy,11,16557,18952583,1144.6870205955186
11,2048,all_true,python,11,132,21233708,160861.42424242425
1,2,random_50pct,numpy,11,22858,11081625,484.8029136407385
1,2,random_50pct,python,11,32000,12274125,383.56640625
7,128,random_50pct,numpy,11,32000,17848375,557.76171875
7,128,random_50pct,python,11,2106,21505625,10211.597815764482
14,16384,all_true,python,11,16,20838416,1302401.0
14,16384,all_true,numpy,11,3556,19939000,5607.142857142857
17,131072,random_50pct,numpy,11,507,19801583,39056.376725838265
17,131072,random_50pct,python,11,2,21661542,10830771.0
9,512,random_50pct,numpy,11,26667,18358917,688.4507818652266
9,512,random_50pct,python,11,516,21257500,41196.70542635659
20,1048576,random_50pct,numpy,11,49,16923208,345371.5918367347
20,1048576,random_50pct,python,11,1,85887292,85887292.0
20,1048576,all_true,python,11,1,84928958,84928958.0
20,1048576,all_true,numpy,11,56,17981208,321093.0
18,262144,random_50pct,numpy,11,257,20003916,77836.24902723735
18,262144,random_50pct,python,11,1,21528750,21528750.0
1,2,all_true,python,11,47962,18534250,386.43613694174553
1,2,all_true,numpy,11,34247,16419416,479.44100213157355
2,4,all_true,python,12,36901,19734166,534.786753746511
2,4,all_true,numpy,12,36901,17741042,480.7740169643099
8,256,all_true,numpy,12,32000,18583417,580.73178125
8,256,all_true,python,12,1127,21299875,18899.622892635314
13,8192,random_50pct,numpy,12,5647,18805958,3330.2564193377016
13,8192,random_50pct,python,12,30,20459167,681972.2333333333
5,32,all_true,python,12,8275,21427542,2589.4310574018127
5,32,all_true,numpy,12,36901,17636125,477.9308148830655
10,1024,all_true,python,12,266,21674208,81481.98496240602
10,1024,all_true,numpy,12,22858,19123166,836.6071397322601
1,2,random_50pct,numpy,12,22858,10833667,473.95515793157756
1,2,random_50pct,python,12,32000,12347833,385.86978125
2,4,random_50pct,numpy,12,34306,16168167,471.2926893254824
2,4,random_50pct,python,12,36901,19837750,537.5938321454703
11,2048,random_50pct,python,12,128,21820833,170475.2578125
11,2048,random_50pct,numpy,12,16543,18654083,1127.611860001209
12,4096,all_true,numpy,12,10912,18917792,1733.6686217008798
12,4096,all_true,python,12,61,20052167,328724.04918032786
18,262144,random_50pct,numpy,12,257,20097875,78201.84824902724
18,262144,random_50pct,python,12,1,21490500,21490500.0
3,8,random_50pct,numpy,12,36901,17408000,471.74873309666407
3,8,random_50pct,python,12,23981,20261834,844.9119719778158
9,512,all_true,numpy,12,28249,19103875,676.2673014973982
9,512,all_true,python,12,543,21537542,39663.981583793735
7,128,random_50pct,numpy,12,32000,17430666,544.7083125
7,128,random_50pct,python,12,2106,21502916,10210.311490978158
16,65536,random_50pct,numpy,12,994,19655958,19774.605633802817
16,65536,random_50pct,python,12,4,22160167,5540041.75
4,16,random_50pct,numpy,12,34306,16184792,471.7772984317612
4,16,random_50pct,python,12,14546,21157584,1454.5293551491818
14,16384,all_true,numpy,12,3556,19811000,5571.147356580427
14,16384,all_true,python,12,16,21263083,1328942.6875
17,131072,all_true,python,12,2,21166250,10583125.0
17,131072,all_true,numpy,12,513,20016708,39018.92397660819
8,256,random_50pct,python,12,1072,21248208,19821.089552238805
8,256,random_50pct,numpy,12,32000,18558042,579.9388125
5,32,random_50pct,numpy,12,36901,17646833,478.22099672095607
5,32,random_50pct,python,12,7868,21259583,2702.03139298424
18,262144,all_true,python,12,1,21197291,21197291.0
18,262144,all_true,numpy,12,257,20074500,78110.89494163424
6,64,all_true,numpy,12,34306,16979834,494.95231154900017
6,64,all_true,python,12,4325,21211875,4904.479768786127
6,64,random_50pct,numpy,12,36901,18999833,514.8866697379475
6,64,random_50pct,python,12,4175,22299917,5341.29748502994
12,4096,random_50pct,numpy,12,9795,17436000,1780.0918836140888
12,4096,random_50pct,python,12,59,20124875,341099.57627118647
16,65536,all_true,python,12,4,20980375,5245093.75
